target,source,manual,service
/departments/172/services/1178/,/Agencies/education-california-department-of/Agency-Services/ca-meals-for-kids-app-(android),0,1
/departments/172/services/1178/,/service/?item=ca-meals-for-kids-app-(android),0,1
/departments/172/services/1179/,/Agencies/education-california-department-of/Agency-Services/meals-for-kids-(ios),0,1
/departments/172/services/1179/,/service/?item=meals-for-kids-(ios),0,1
/departments/172/services/17/,/Agencies/education-california-department-of/Agency-Services/find-your-local-school,0,1
/departments/172/services/17/,/service/?item=find-your-local-school,0,1
/departments/172/services/82/,/Agencies/education-california-department-of/Agency-Services/find-nearby-adult-education-programs,0,1
/departments/172/services/82/,/service/?item=find-nearby-adult-education-programs,0,1
/departments/172/services/83/,/Agencies/education-california-department-of/Agency-Services/find-an-esl%2fenglish-class,0,1
/departments/172/services/83/,/service/?item=find-an-esl%2fenglish-class,0,1
/departments/172/services/84/,/Agencies/education-california-department-of/Agency-Services/get-a-high-school-diploma,0,1
/departments/172/services/84/,/service/?item=get-a-high-school-diploma,0,1
/departments/172/services/85/,/Agencies/education-california-department-of/Agency-Services/learn-to-read-and-write,0,1
/departments/172/services/85/,/service/?item=learn-to-read-and-write,0,1
/departments/172/services/86/,/Agencies/education-california-department-of/Agency-Services/find-a-citizenship-class,0,1
/departments/172/services/86/,/service/?item=find-a-citizenship-class,0,1
/departments/173/,/Agencies/food-and-agriculture-department-of,0,0
/departments/173/,/agency/?item=department-of-food-and-agriculture,0,0
/departments/173/services/73/,/Agencies/food-and-agriculture-department-of/Agency-Services/find-a-fair,0,1
/departments/173/services/73/,/service/?item=find-a-fair,0,1
/departments/174/,/Agencies/fish-and-wildlife-department-of,0,0
/departments/174/,/agency/?item=department-of-fish-and-wildlife,0,0
/departments/174/services/28/,/Agencies/fish-and-wildlife-department-of/Agency-Services/find-a-hunter-education-course,0,1
/departments/174/services/28/,/service/?item=find-a-hunter-education-course,0,1
/departments/174/services/29/,/Agencies/fish-and-wildlife-department-of/Agency-Services/get-a-fishing-or-hunting-license,0,1
/departments/174/services/29/,/service/?item=get-a-fishing-license,1,1
/departments/174/services/29/,/service/?item=get-a-fishing-or-hunting-license,0,1
/departments/175/,/Agencies/insurance-department-of,0,0
/departments/175/,/agency/?item=department-of-insurance,0,0
/departments/175/services/1170/,/Agencies/insurance-department-of/Agency-Services/file-a-complaint,0,1
/departments/175/services/1170/,/service/?item=file-a-complaint,0,1
/departments/175/services/1171/,/Agencies/insurance-department-of/Agency-Services/california-low-cost-auto,0,1
/departments/175/services/1171/,/service/?item=california-low-cost-auto,0,1
/departments/175/services/1172/,/Agencies/insurance-department-of/Agency-Services/california-senior-gateway,0,1
/departments/175/services/1172/,/service/?item=california-senior-gateway,0,1
/departments/176/,/Agencies/public-health-california-department-of,0,0
/departments/176/,/agency/?item=california-department-of-public-health,0,0
/departments/176/services/1174/,/Agencies/public-health-california-department-of/Agency-Services/women%2c-infants-and-children-(wic),0,1
/departments/176/services/1174/,/service/?item=women%2c-infants-and-children-(wic),0,1
/departments/176/services/1177/,/Agencies/public-health-california-department-of/Agency-Services/get-digital-vaccine-record,0,1
/departments/176/services/1177/,/service/?item=get-digital-vaccine-record,0,1
/departments/176/services/1210/,/Agencies/public-health-california-department-of/Agency-Services/search-for-personnel-licensing,0,1
/departments/176/services/1210/,/service/?item=search-for-personnel-licensing,0,1
/departments/176/services/51/,/Agencies/public-health-california-department-of/Agency-Services/apply-for-marriage-certificate,0,1
/departments/176/services/51/,/service/?item=apply-for-marriage-certificate,0,1
/departments/176/services/51/,/service/?item=get-a-marriage-license,1,1
/departments/176/services/52/,/Agencies/public-health-california-department-of/Agency-Services/apply-for-birth-certificate,0,1
/departments/176/services/52/,/service/?item=apply-for-birth-certificate,0,1
/departments/176/services/53/,/Agencies/public-health-california-department-of/Agency-Services/apply-for-death-certificate,0,1
/departments/176/services/53/,/service/?item=apply-for-death-certificate,0,1
/departments/177/,/Agencies/pesticide-regulation-department-of,0,0
/departments/177/,/agency/?item=department-of-pesticide-regulation,0,0
/departments/178/,/Agencies/social-services-department-of,0,0
/departments/178/,/agency/?item=department-of-social-services,0,0
/departments/178/services/1116/,/Agencies/social-services-department-of/Agency-Services/get-daca-legal-help,0,1
/departments/178/services/1116/,/service/?item=get-daca-legal-help,0,1
/departments/178/services/1180/,/Agencies/social-services-department-of/Agency-Services/find-e-benefits-in-your-county,0,1
/departments/178/services/1180/,/service/?item=find-e-benefits-in-your-county,0,1
/departments/178/services/1183/,/Agencies/social-services-department-of/Agency-Services/earned-income-tax-credit-(eitc),0,1
/departments/178/services/1183/,/service/?item=earned-income-tax-credit-(eitc),0,1
/departments/178/services/59/,/Agencies/social-services-department-of/Agency-Services/find-foster-care,0,1
/departments/178/services/59/,/service/?item=find-foster-care,0,1
/departments/178/services/60/,/Agencies/social-services-department-of/Agency-Services/food-stamps,0,1
/departments/178/services/60/,/service/?item=apply-for-food-stamps,1,1
/departments/178/services/60/,/service/?item=food-stamps,0,1
/departments/178/services/61/,/Agencies/social-services-department-of/Agency-Services/find-assisted-living,0,1
/departments/178/services/61/,/service/?item=find-assisted-living,0,1
/departments/178/services/62/,/Agencies/social-services-department-of/Agency-Services/find-child-care,0,1
/departments/178/services/62/,/service/?item=find-child-care,0,1
/departments/178/services/79/,/Agencies/social-services-department-of/Agency-Services/get-legal-help,0,1
/departments/178/services/79/,/service/?item=get-legal-help,0,1
/departments/178/services/80/,/Agencies/social-services-department-of/Agency-Services/get-citizenship-services,0,1
/departments/178/services/80/,/service/?item=get-citizenship-services,0,1
/departments/178/services/81/,/Agencies/social-services-department-of/Agency-Services/find-refugee-services,0,1
/departments/178/services/81/,/service/?item=find-refugee-services,0,1
/departments/179/,/Agencies/technology-california-department-of,0,0
/departments/179/,/agency/?item=california-department-of-technology,0,0
/departments/18/,/Agencies/architects-board-california,0,0
/departments/18/,/agency/?item=california-architects-board,0,0
/departments/180/,/Agencies/earthquake-authority-california,0,0
/departments/180/,/agency/?item=california-earthquake-authority,0,0
/departments/180/services/1136/,/Agencies/earthquake-authority-california/Agency-Services/calculate-your-earthquake-insurance-premium,0,1
/departments/180/services/1136/,/service/?item=calculate-your-earthquake-insurance-premium,0,1
/departments/180/services/1141/,/Agencies/earthquake-authority-california/Agency-Services/get-a-premium-discount,0,1
/departments/180/services/1141/,/service/?item=get-a-premium-discount,0,1
/departments/180/services/1143/,/Agencies/earthquake-authority-california/Agency-Services/prepare-your-house,0,1
/departments/180/services/1143/,/service/?item=prepare-your-house,0,1
/departments/180/services/1223/,/Agencies/earthquake-authority-california/Agency-Services/earthquake-warning-in-california,0,1
/departments/180/services/1223/,/service/?item=earthquake-warning-in-california,0,1
/departments/181/,/Agencies/film-commission-california,0,0
/departments/181/,/agency/?item=california-film-commission,0,0
/departments/182/,/Agencies/financing-coordinating-committee-california,0,0
/departments/182/,/agency/?item=california-financing-coordinating-committee,0,0
/departments/183/,/Agencies/health-and-human-services-agency,0,0
/departments/183/,/agency/?item=health-and-human-services-agency,0,0
/departments/183/,/agency/?item=healthcare-and-social-services,1,0
/departments/184/,/Agencies/highway-patrol-california,0,0
/departments/184/,/agency/?item=california-highway-patrol,0,0
/departments/184/services/38/,/Agencies/highway-patrol-california/Agency-Services/locate-current-road-conditions,0,1
/departments/184/services/38/,/service/?item=locate-current-road-conditions,0,1
/departments/185/,/Agencies/horse-racing-board-california,0,0
/departments/185/,/agency/?item=california-horse-racing-board,0,0
/departments/185/services/1144/,/Agencies/horse-racing-board-california/Agency-Services/apply-for-a-horse-racing-license,0,1
/departments/185/services/1144/,/service/?item=apply-for-a-horse-racing-license,0,1
/departments/186/,/Agencies/regenerative-medicine-california-institute-for,0,0
/departments/186/,/agency/?item=california-institute-for-regenerative-medicine,0,0
/departments/187/,/Agencies/judicial-performance-commission-on,0,0
/departments/187/,/agency/?item=commission-on-judicial-performance,0,0
/departments/188/,/Agencies/law-revision-commission-california,0,0
/departments/188/,/agency/?item=california-law-revision-commission,0,0
/departments/189/,/Agencies/coastal-commission-california,0,0
/departments/189/,/agency/?item=california-coastal-commission,0,0
